acquisation_date,inventory_number,type,supplier_id,laboratory_id
10/22/2022,59051.4,computer monitor,140,
12/29/2020,38246.09,office chair,66,
11/8/2020,57261.28,whiteboard,30,
4/28/2020,29122.0,projector,41,
10/9/2018,50739.68,desk,122,
9/4/2021,41138.86,printer,111,
3/17/2022,33221.34,bookshelf,134,12
8/24/2023,88112.14,filing cabinet,110,
11/28/2022,87959.47,conference table,133,20
4/17/2021,58540.15,office phone,74,17
8/5/2022,64871.96,laptop stand,88,
6/7/2018,32125.37,desk lamp,55,
10/10/2021,39541.61,wall clock,105,14
8/23/2022,27179.38,file organizer,144,16
10/4/2021,38787.95,cork board,106,
1/12/2019,77673.71,standing desk,29,
8/8/2020,65777.79,office plants,142,2
1/15/2023,27628.26,ergonomic keyboard,149,
9/20/2019,66505.2,mouse pad,45,
7/21/2020,18187.75,power strip,77,
5/14/2023,79611.48,headphones,133,10
10/6/2021,44812.32,webcam,81,3
2/4/2023,71441.52,external hard drive,57,2
3/6/2023,26148.28,wireless router,127,
9/23/2021,74552.98,printer paper,32,19
1/19/2024,85198.38,pens,71,4
8/3/2022,65294.91,notebooks,99,17
4/2/2020,97288.62,stapler,144,9
2/1/2020,53900.61,paper clips,116,
7/22/2018,35953.97,binder clips,60,8
12/19/2020,90570.6,scissors,125,
1/24/2022,92749.69,tape dispenser,84,
1/12/2022,93965.08,calculator,124,
2/28/2021,21801.97,sticky notes,55,6
11/9/2018,86275.9,pencil holder,145,4
2/25/2021,81129.67,desk organizer,139,10
2/7/2019,10080.59,trash can,25,14
8/21/2018,98985.89,shredder,43,
8/21/2023,99517.33,dry erase markers,100,2
7/29/2018,34414.88,highlighters,89,
6/13/2019,38955.04,USB flash drive,114,5
6/24/2019,63051.5,desk calendar,81,
2/23/2021,56098.89,office supplies caddy,69,
11/26/2018,56686.56,post-it notes,71,
9/12/2022,69290.34,letter tray,85,16
1/19/2024,81103.0,document holder,135,
4/9/2020,49348.41,label maker,41,
12/1/2022,75110.19,storage bins,106,15
3/17/2020,17450.13,computer monitor,49,1
10/30/2018,32899.1,office chair,70,4
