acquisition_date,inventory_number,type,supplier_id,laboratory_id
2021-07-25T22:44:18Z,28595.14,computer monitor,104,
2021-03-17T13:52:39Z,86552.41,office chair,62,
2019-08-12T14:54:48Z,17897.25,whiteboard,42,20
2018-03-04T21:28:47Z,48202.53,projector,128,16
2021-04-28T01:39:00Z,39500.28,desk,56,
2021-03-07T05:04:05Z,69516.9,printer,38,4
2020-05-03T22:19:42Z,12538.79,bookshelf,16,
2018-04-26T09:15:52Z,13184.79,filing cabinet,133,
2018-08-20T16:26:00Z,86487.27,conference table,147,
2021-04-15T19:33:17Z,94629.85,office phone,145,
2021-12-15T07:43:46Z,37657.36,laptop stand,11,
2020-11-29T22:10:19Z,25985.03,desk lamp,90,10
2021-10-28T22:58:20Z,31818.21,wall clock,46,6
2019-03-26T18:52:28Z,38895.63,file organizer,133,
2023-01-26T03:10:30Z,25557.82,cork board,16,8
2021-01-08T06:58:44Z,75636.91,standing desk,70,8
2021-09-13T21:20:52Z,21636.32,office plants,47,15
2024-01-20T15:00:06Z,46093.44,ergonomic keyboard,110,
2020-05-23T09:42:12Z,33841.22,mouse pad,121,17
2022-12-20T22:54:06Z,34198.15,power strip,30,
2019-11-08T09:44:36Z,47755.62,headphones,87,8
2021-01-17T15:38:35Z,25130.24,webcam,150,
2019-03-25T23:06:07Z,89932.31,external hard drive,22,
2021-10-29T02:26:22Z,24019.54,wireless router,102,
2021-05-20T05:38:03Z,62662.73,printer paper,39,
2023-03-30T09:45:07Z,85071.85,pens,122,
2019-02-13T05:35:16Z,12277.84,notebooks,14,2
2023-10-09T14:16:42Z,69663.05,stapler,135,20
2023-05-09T01:33:34Z,40592.86,paper clips,64,
2018-03-06T21:32:38Z,37803.34,binder clips,28,
2019-05-27T21:37:10Z,22936.12,scissors,78,
2019-12-06T12:55:42Z,83273.92,tape dispenser,112,4
2019-10-28T08:26:38Z,92838.01,calculator,138,4
2022-05-20T20:02:39Z,39716.73,sticky notes,24,
2022-12-10T22:17:08Z,16369.69,pencil holder,74,
2019-12-01T10:20:35Z,52995.88,desk organizer,67,
2019-12-25T14:42:01Z,72272.08,trash can,140,11
2021-09-22T21:34:59Z,95437.9,shredder,30,
2023-11-15T15:28:54Z,67973.28,dry erase markers,33,19
2023-12-27T14:16:36Z,90747.75,highlighters,131,14
2018-10-17T03:17:43Z,93828.19,USB flash drive,48,7
2022-03-01T07:38:01Z,14199.13,desk calendar,145,
2021-08-13T22:16:13Z,90744.32,office supplies caddy,12,
2018-11-07T12:20:48Z,88485.47,post-it notes,98,5
2020-03-23T04:22:09Z,56316.44,letter tray,70,
2021-03-24T01:19:11Z,51612.09,document holder,59,2
2020-12-27T21:49:07Z,29994.99,label maker,28,
2020-08-05T22:38:19Z,29362.51,storage bins,139,19
2024-02-16T17:12:22Z,27574.64,computer monitor,112,19
2021-02-18T12:19:04Z,36659.2,office chair,47,
